episode,run_0
500,-136.64243578344508
1000,-134.9104399178837
1500,-214.57055498493344
2000,-65.36250567138458
2500,-60.45178447966232
3000,-56.518539794037245
3500,-58.16168401321198
4000,-52.20978454297228
4500,-46.958337599682075
5000,-43.14718702268729
5500,-36.12774044166678
6000,-34.170175917833085
6500,-31.681807465330213
7000,-31.339933584701576
7500,-30.14981957154078
8000,-35.76620904699125
8500,-31.75299581164548
9000,-29.685269178874407
9500,-30.120819989419328
10000,-29.752356997109164
10500,-31.87429019362827
11000,-27.627912803795684
11500,-28.965170008742323
12000,-29.082170839548237
12500,-29.300875230160848
13000,-30.523465464761344
13500,-29.71561660575394
14000,-27.981460177363623
14500,-28.21010721883887
15000,-29.750365135152993
15500,-30.265496461241156
16000,-30.162426920243863
16500,-28.730851251607564
17000,-27.7230448996106
17500,-29.954797043788098
18000,-31.148863561200997
18500,-29.89345724243677
19000,-28.70496364920316
19500,-30.418311157417367
20000,-31.818374833674238
20500,-27.478113094559127
21000,-31.52829844721588
21500,-29.785560977475072
22000,-30.81245263861279
22500,-30.66165300957834
23000,-32.69732820017307
23500,-31.067329173459118
24000,-30.942128780484236
24500,-29.738461791248735
25000,-29.026849641066516
25500,-32.466592620344144
26000,-31.123397967048614
26500,-33.429014629494546
27000,-35.735438108208704
27500,-32.665029595578574
28000,-31.533258519257735
28500,-31.03551267921637
29000,-33.97389409233431
29500,-31.851832049850223
30000,-31.10971100600073
30500,-31.112242377032057
31000,-32.55107553750894
31500,-31.73137573019459
32000,-31.086835599659373
32500,-31.057083557947422
33000,-30.257380758694634
33500,-29.902830482117757
34000,-29.481663418867466
34500,-30.523687642681367
35000,-32.342164286632546
35500,-30.063490748883478
36000,-27.561449911946614
36500,-29.58500453616616
37000,-28.70334839671444
37500,-32.32258901031303
38000,-29.75898087540178
38500,-29.63659012961186
39000,-30.659071588818996
39500,-29.454716150870443
40000,-28.43880633934409
40500,-28.712627183214238
41000,-29.68649386626041
41500,-29.1608931159949
42000,-28.78538709977715
42500,-30.971273007585022
43000,-28.394431398370486
43500,-28.80599775000304
44000,-31.447365036235293
44500,-31.576812682808715
45000,-42.49427342948736
45500,-54.16379749726142
46000,-41.44630638922479
46500,-31.09377050100143
47000,-31.339586551059263
47500,-30.359539567520052
48000,-30.176729958986403
48500,-30.540030539607738
49000,-31.701405748614548
49500,-31.14687265461501
50000,-28.91766135397298
50500,-29.08069430655719
51000,-29.135772143705942
51500,-28.79524460214511
52000,-28.182129018550707
52500,-29.857509509559517
53000,-28.505675054229926
53500,-29.706221470281807
54000,-28.77823118877317
54500,-31.031106241443286
55000,-29.14090547650944
55500,-30.471967603013226
56000,-29.617268557667927
56500,-29.6746359500829
57000,-29.372909579517035
57500,-28.870912910355457
58000,-29.910282214276965
58500,-32.072746276622205
59000,-29.919661436409122
59500,-30.098889805405662
60000,-29.646194727746277
60500,-31.21381322340156
61000,-28.333962213787462
61500,-31.111410103254865
62000,-29.17679422071277
62500,-29.91205571915493
63000,-29.507277147865018
63500,-30.19414291887464
64000,-30.53804461670974
64500,-28.832634590126073
65000,-28.152110623596958
65500,-28.761063897480714
66000,-28.579999721897742
66500,-30.831834373239072
67000,-29.766689537772276
67500,-29.863814979045785
68000,-31.26739179000388
68500,-29.54990904506133
69000,-28.724024508718728
69500,-28.696360933430846
70000,-29.726029989697967
70500,-30.111332441432165
71000,-31.75741875708967
71500,-28.12744343275095
72000,-31.432349084998307
72500,-31.659296300736624
73000,-33.61106878483963
73500,-27.99886424899249
74000,-30.24675582426272
74500,-31.83848311203879
75000,-29.57681435975692
75500,-30.027067751030014
76000,-29.211583841909246
76500,-30.779303999396674
77000,-27.985934276954243
77500,-29.1918598999724
78000,-28.46112513214118
78500,-29.94045780693832
79000,-30.85480462581521
79500,-29.95104976693769
80000,-27.05396267325266
80500,-26.664331799920575
81000,-28.148127184878582
81500,-28.95263932833411
82000,-29.633678948011557
82500,-27.553724936287345
83000,-32.01304984686361
83500,-30.58582230773742
84000,-30.25388068856285
84500,-30.187955630834754
85000,-31.229937737994955
85500,-28.885575592324116
86000,-28.726371765809287
86500,-31.013317825816586
87000,-28.040769220068025
87500,-30.581579804073016
88000,-29.188240370286177
88500,-31.80794820403683
89000,-28.084808428684056
89500,-29.246545058833114
90000,-28.50970844462263
90500,-28.459160260394253
91000,-27.69759190529386
91500,-32.27104024708163
92000,-28.6667640844202
92500,-28.457247093420253
93000,-37.56498287295005
93500,-29.970704584742684
94000,-29.90218569319597
94500,-31.35711270826278
95000,-30.030130671735556
95500,-29.513996851960552
96000,-31.533601073839257
96500,-31.35662938669118
97000,-26.96845050113606
97500,-27.65471683887887
98000,-28.390100086664027
98500,-29.211044640042743
99000,-30.04325627536886
99500,-33.76549507677568
100000,-29.939120158069528
100500,-28.70274475346742
101000,-31.38112724165254
101500,-29.064172728984175
102000,-58.24749911717001
102500,-57.823269421561214
103000,-52.067814618615756
103500,-51.74165748757293
104000,-46.191011017539466
104500,-48.92268457705324
105000,-52.960371929172425
105500,-48.134546112853656
106000,-44.08870870420991
106500,-45.767640436226664
107000,-46.97220302221721
107500,-47.5959276722813
108000,-42.72739919447083
108500,-43.91600064408411
109000,-46.450912305792194
109500,-45.815475492873595
110000,-47.68867586272574
110500,-43.081106557101116
111000,-46.15179278270615
111500,-45.56250045090098
112000,-44.81968795075549
112500,-47.6558572446818
113000,-47.741665706374796
113500,-46.77019616173327
114000,-43.56982430402124
114500,-43.246367883504305
115000,-40.26628693065741
115500,-45.7578365216422
116000,-44.21018165530839
116500,-44.44326990416856
117000,-45.30943950660333
117500,-46.35498115996868
118000,-45.309517147372375
118500,-48.195227063524385
119000,-44.49429236759286
119500,-43.27603754109448
120000,-46.3494007897933
